Case Number,Category,Program,Initiative,Organization,Type,Value,
AH3-BRU-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Bruce,Comply with Canadian Environmental Assessment Act,Yes,
AH3-BRU-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Bruce,Energy Efficiency,Energy Star-rated Products,
AH3-BRU-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Bruce,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-HAS-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Hastings,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-HAS-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Hastings,Comply with Canadian Environmental Assessment Act,Yes,
AH3-HAS-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Hastings,Energy Efficiency,Energy Star-rated Products,
AH3-HAS-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Hastings,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-HAS-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Hastings,LEED Certification,,
AH3-LNA-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Lennox and Addington,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-LNA-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Lennox and Addington,Comply with Canadian Environmental Assessment Act,Yes,
AH3-LNA-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Lennox and Addington,Energy Efficiency,Energy Star-rated Products,
AH3-LNA-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Lennox and Addington,Energy Efficiency,Other,
AH3-LNA-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Lennox and Addington,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-NOR-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Norfolk,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-NOR-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Norfolk,Comply with Canadian Environmental Assessment Act,Yes,
AH3-NOR-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Norfolk,Energy Efficiency,Energy Star-rated Products,
AH3-NOR-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Norfolk,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-OXF-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Oxford,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-OXF-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Oxford,Comply with Canadian Environmental Assessment Act,Yes,
AH3-OXF-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Oxford,Energy Efficiency,Energy Star-rated Products,
AH3-OXF-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Oxford,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-SIM-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Simcoe,Comply with Canadian Environmental Assessment Act,Yes,
AH3-SIM-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Simcoe,Energy Efficiency,Energy Star-rated Products,
AH3-SIM-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,County of Simcoe,Energy Efficiency,Other,
AH3-MUS-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,District Municipality of Muskoka,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-MUS-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,District Municipality of Muskoka,Comply with Canadian Environmental Assessment Act,Yes,
AH3-MUS-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,District Municipality of Muskoka,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-MUS-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,District Municipality of Muskoka,Comply with Canadian Environmental Assessment Act,Yes,
AH3-MUS-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,District Municipality of Muskoka,Energy Efficiency,Energy Star-rated Products,
AH3-DUR-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Durham,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-DUR-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Durham,Comply with Canadian Environmental Assessment Act,Yes,
AH3-DUR-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Durham,Energy Efficiency,Energy Star-rated Products,
AH3-DUR-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Durham,Energy Efficiency,Other,
AH3-HAL-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-HAL-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,Comply with Canadian Environmental Assessment Act,Yes,
AH3-HAL-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,Energy Efficiency,Energy Star-rated Products,
AH3-HAL-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-HAL-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,LEED Certification,Other,
AH3-HAL-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,Renewable Energy,Geo-thermal System(s),
AH3-HAL-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-HAL-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,Comply with Canadian Environmental Assessment Act,Yes,
AH3-HAL-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,Energy Efficiency,Energy Star-rated Products,
AH3-HAL-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-HAL-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,LEED Certification,Other,
AH3-HAL-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,Comply with Canadian Environmental Assessment Act,Yes,
AH3-HAL-RS-004,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-HAL-RS-004,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,Comply with Canadian Environmental Assessment Act,Yes,
AH3-HAL-RS-004,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Halton,LEED Certification,Other,
AH3-PEE-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Peel,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-PEE-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Peel,Comply with Canadian Environmental Assessment Act,Yes,
AH3-PEE-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Peel,Energy Efficiency,Energy Star-rated Products,
AH3-PEE-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Peel,Energy Efficiency,Other,
AH3-PEE-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Peel,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-PEE-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Peel,LEED Certification,Silver,
AH3-WAT-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Waterloo,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-WAT-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Waterloo,Comply with Canadian Environmental Assessment Act,Yes,
AH3-WAT-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Waterloo,Energy Efficiency,Energy Star-rated Products,
AH3-WAT-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Waterloo,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-WAT-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Waterloo,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-WAT-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Waterloo,Comply with Canadian Environmental Assessment Act,Yes,
AH3-WAT-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Waterloo,Energy Efficiency,Energy Star-rated Products,
AH3-WAT-RS-002,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Waterloo,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-WAT-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Waterloo,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH3-WAT-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Waterloo,Comply with Canadian Environmental Assessment Act,Yes,
AH3-WAT-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Waterloo,Energy Efficiency,Energy Star-rated Products,
AH3-WAT-RS-003,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of Waterloo,Energy Efficiency,Smart Meter (Individually Metered Units),
AH3-YOR-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of York,Comply with Canadian Environmental Assessment Act,Yes,
AH3-YOR-RS-001,IAH Year - 3 Rental Housing,Investment in Affordable Housing Program,IAH Year - 3,Regional Municipality of York,Comply with Canadian Environmental Assessment Act,Yes,
AH3-MBDC-RS-1-121447571,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Miziwe Biik Development Corporation,Energy Efficiency,Energy Star-Rated Products,(Aboriginal)
AH3-MBDC-RS-1-121447571,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Miziwe Biik Development Corporation,Energy Efficiency,Other,(Aboriginal)
AH3-MBDC-RS-1-121447571,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Miziwe Biik Development Corporation,Env./Bldg. Construction Design,None,(Aboriginal)
AH3-MBDC-RS-1-121447571,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Miziwe Biik Development Corporation,Environmental Assessment,Yes,(Aboriginal)
AH3-MBDC-RS-1-121459108,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Miziwe Biik Development Corporation,Energy Efficiency,Energy Star-Rated Products,(Aboriginal)
AH3-MBDC-RS-1-121459108,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Miziwe Biik Development Corporation,Energy Efficiency,Smart Meter (Bulk Metered),(Aboriginal)
AH3-MBDC-RS-1-121459108,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Miziwe Biik Development Corporation,Env./Bldg. Construction Design,None,(Aboriginal)
AH3-MBDC-RS-1-121459108,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Miziwe Biik Development Corporation,Environmental Assessment,Yes,(Aboriginal)
AH3-OAHS-RS-1-121447079,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Energy Star-Rated Products,(Aboriginal)
AH3-OAHS-RS-1-121447079,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Other,(Aboriginal)
AH3-OAHS-RS-1-121447079,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Ontario Aboriginal Housing Social Services Corporation,Env./Bldg. Construction Design,None,(Aboriginal)
AH3-OAHS-RS-1-121447079,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Ontario Aboriginal Housing Social Services Corporation,Environmental Assessment,Yes,(Aboriginal)
AH3-OAHS-RS-1-121447079,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Ontario Aboriginal Housing Social Services Corporation,Renewable Energy Source,Comments,(Aboriginal)
AH3-OAHS-RS-1-121447245,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Ontario Aboriginal Housing Social Services Corporation,Env./Bldg. Construction Design,None,(Aboriginal)
AH3-OAHS-RS-1-121447245,IAH Year - 3 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 3,Ontario Aboriginal Housing Social Services Corporation,Environmental Assessment,Yes,(Aboriginal)
AH4-LON-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of London,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-LON-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AH4-LON-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of London,Energy Efficiency,Energy Star-rated Products,
AH4-LON-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of London,Energy Efficiency,Other,
AH4-LON-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AH4-OTT-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Ottawa,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-OTT-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Ottawa,Comply with Canadian Environmental Assessment Act,Yes,
AH4-OTT-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Ottawa,Energy Efficiency,Energy Star-rated Products,
AH4-OTT-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Ottawa,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-OTT-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Ottawa,Comply with Canadian Environmental Assessment Act,Yes,
AH4-OTT-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Ottawa,Energy Efficiency,Energy Star-rated Products,
AH4-OTT-RS-002,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Ottawa,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-OTT-RS-002,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Ottawa,Comply with Canadian Environmental Assessment Act,Yes,
AH4-OTT-RS-002,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Ottawa,Energy Efficiency,Energy Star-rated Products,
AH4-OTT-RS-002,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Ottawa,Energy Efficiency,Smart Meter (Individually Metered Units),
AH4-OTT-RS-002,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Ottawa,LEED Certification,Silver,
AH4-PET-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Peterborough,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-PET-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Peterborough,Comply with Canadian Environmental Assessment Act,Yes,
AH4-PET-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Peterborough,Energy Efficiency,Energy Star-rated Products,
AH4-PET-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Peterborough,Energy Efficiency,Smart Meter (Bulk Metered),
AH4-PET-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Peterborough,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-PET-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Peterborough,Comply with Canadian Environmental Assessment Act,Yes,
AH4-PET-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Peterborough,Energy Efficiency,Energy Star-rated Products,
AH4-PET-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Peterborough,Energy Efficiency,Smart Meter (Bulk Metered),
AH4-TOR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Toronto,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-TOR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Toronto,Comply with Canadian Environmental Assessment Act,Yes,
AH4-TOR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Toronto,Energy Efficiency,Energy Star-rated Products,
AH4-TOR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,City of Toronto,LEED Certification,,
AH4-OXF-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,County of Oxford,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-OXF-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,County of Oxford,Comply with Canadian Environmental Assessment Act,Yes,
AH4-OXF-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,County of Oxford,Energy Efficiency,Energy Star-rated Products,
AH4-NIP-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Nipissing DSSAB,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-NIP-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Nipissing DSSAB,Comply with Canadian Environmental Assessment Act,Yes,
AH4-NIP-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Nipissing DSSAB,Energy Efficiency,Energy Star-rated Products,
AH4-NIP-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Nipissing DSSAB,Energy Efficiency,Other,
AH4-NIP-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Nipissing DSSAB,Energy Efficiency,Smart Meter (Individually Metered Units),
AH4-NIP-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Nipissing DSSAB,Renewable Energy,Comments,
AH4-NIP-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Nipissing DSSAB,Renewable Energy,Solar Photovoltaic,
AH4-DUR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of Durham,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-DUR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of Durham,Comply with Canadian Environmental Assessment Act,Yes,
AH4-DUR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of Durham,Energy Efficiency,Energy Star-rated Products,
AH4-DUR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of Durham,Energy Efficiency,Other,
AH4-DUR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of Durham,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-DUR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of Durham,Comply with Canadian Environmental Assessment Act,Yes,
AH4-DUR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of Durham,Energy Efficiency,Energy Star-rated Products,
AH4-DUR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of Durham,Energy Efficiency,Other,
AH4-WAT-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of Waterloo,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-WAT-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of Waterloo,Comply with Canadian Environmental Assessment Act,Yes,
AH4-WAT-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of Waterloo,Energy Efficiency,Energy Star-rated Products,
AH4-WAT-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of Waterloo,Energy Efficiency,Other,
AH4-YOR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of York,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-YOR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of York,Comply with Canadian Environmental Assessment Act,Yes,
AH4-YOR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of York,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-YOR-RS-001,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of York,Comply with Canadian Environmental Assessment Act,Yes,
AH4-YOR-RS-002,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of York,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH4-YOR-RS-002,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of York,Comply with Canadian Environmental Assessment Act,Yes,
AH4-YOR-RS-002,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of York,Energy Efficiency,Energy Star-rated Products,
AH4-YOR-RS-002,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of York,Energy Efficiency,Smart Meter (Individually Metered Units),
AH4-YOR-RS-002,IAH Year - 4 Rental Housing,Investment in Affordable Housing Program,IAH Year - 4,Regional Municipality of York,LEED Certification,Certified,
AH4-MBDC-RS-1-120791121,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Miziwe Biik Development Corporation,Energy Efficiency,Energy Star-Rated Products,(Aboriginal)
AH4-MBDC-RS-1-120791121,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Miziwe Biik Development Corporation,Energy Efficiency,Other,(Aboriginal)
AH4-MBDC-RS-1-120791121,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Miziwe Biik Development Corporation,Env./Bldg. Construction Design,Other,(Aboriginal)
AH4-MBDC-RS-1-120791121,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Miziwe Biik Development Corporation,Environmental Assessment,Yes,(Aboriginal)
AH4-OAHS-RS-1-120782206,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Energy Star-Rated Products,(Aboriginal)
AH4-OAHS-RS-1-120782206,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Other,(Aboriginal)
AH4-OAHS-RS-1-120782206,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Smart Meter (Bulk Metered),(Aboriginal)
AH4-OAHS-RS-1-120782206,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Env./Bldg. Construction Design,Other,(Aboriginal)
AH4-OAHS-RS-1-120782206,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Environmental Assessment,Yes,(Aboriginal)
AH4-OAHS-RS-1-120790381,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Energy Star-Rated Products,(Aboriginal)
AH4-OAHS-RS-1-120790381,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Smart Meter (Individually Metered Units),(Aboriginal)
